meter_id,tot_kwh,mean_kwh,max_kwh,std_kwh,load_factor,night_ratio,morn_peak_ratio,eve_peak_ratio,weekend_ratio,half_period_ratio,daily_consumption_std
1000,192.01,0.5715,1.4686,0.3881,0.3891,0.1659,0.2242,0.4206,0.9994,1.0182,0.3421
1001,331.81,0.9875,3.0072,1.031,0.3284,0.1017,0.2514,0.1585,0.2317,1.0986,22.7722
1002,190.45,0.5668,1.5091,0.3788,0.3756,0.1696,0.2225,0.4174,1.0039,1.0168,0.3456
1003,184.7,0.5497,1.9765,0.5039,0.2781,0.556,0.0461,0.2675,1.0007,1.008,0.4456
1004,190.44,0.5668,1.4613,0.3821,0.3879,0.167,0.2206,0.4216,1.0034,1.0047,0.2307
1005,190.02,0.5655,1.4668,0.3834,0.3856,0.1684,0.221,0.4224,1.0071,0.999,0.1816
1006,183.22,0.5453,2.0026,0.5018,0.2723,0.5562,0.0446,0.2694,0.9924,1.0136,0.2342
1007,184.17,0.5481,2.0205,0.5085,0.2713,0.5597,0.0463,0.2666,1.0048,1.0048,0.3768
1008,189.33,0.5635,1.4493,0.3823,0.3888,0.1658,0.2196,0.4231,0.999,1.0,0.2733
1009,183.85,0.5472,1.9886,0.4988,0.2752,0.557,0.0445,0.2678,1.012,1.0058,0.2989
