meter_id,tot_kwh,mean_kwh,max_kwh,std_kwh,load_factor,night_ratio,morn_peak_ratio,eve_peak_ratio,weekend_ratio,half_period_ratio,daily_consumption_std,cluster,silhouette_score,anomaly_score,is_anomaly
1000,198.99,0.2961,1.4686,0.3888,0.2016,0.172,0.2217,0.4132,0.9991,0.0364,13.7172,1,0.8991,-1,True
1001,198.24,0.295,1.4757,0.385,0.1999,0.1748,0.223,0.4094,1.0,0.0378,13.625,1,0.8991,-1,True
1002,366.87,0.5459,2.0189,0.5025,0.2704,0.556,0.0459,0.2691,0.982,1.0096,0.3544,0,0.8991,1,False
1003,380.0,0.5655,1.5065,0.3863,0.3754,0.1654,0.2233,0.4233,0.9989,1.0057,0.3911,1,0.8991,1,False
1004,381.32,0.5674,1.5285,0.3841,0.3712,0.1656,0.2236,0.4202,0.9977,0.9996,0.3597,1,0.8991,1,False
1005,379.0,0.564,1.4974,0.3834,0.3766,0.1637,0.224,0.422,0.9962,1.0091,0.3515,1,0.8991,1,False
1006,378.85,0.5638,1.4764,0.385,0.3818,0.165,0.2219,0.4237,1.0003,0.9982,0.3514,1,0.8991,1,False
1007,659.9,0.982,3.1068,1.0217,0.3161,0.1014,0.2503,0.1608,0.2444,0.9995,21.3098,2,0.8991,1,False
1008,378.68,0.5635,1.549,0.3826,0.3638,0.1663,0.2226,0.4218,1.0031,0.999,0.3251,1,0.8991,1,False
1009,380.91,0.5668,1.4683,0.3833,0.386,0.168,0.2235,0.4203,1.0008,0.9993,0.288,1,0.8991,1,False
1010,366.04,0.5447,2.0487,0.504,0.2659,0.5576,0.046,0.269,1.0077,0.9997,0.2755,0,0.8991,1,False
1011,381.82,0.5682,1.4872,0.3849,0.382,0.1665,0.2218,0.4211,0.9983,0.9977,0.2833,1,0.8991,1,False
1012,661.91,0.985,3.0649,1.0231,0.3214,0.1012,0.2488,0.1601,0.2418,1.0013,21.4591,2,0.8991,1,False
1013,380.87,0.5668,1.4947,0.3831,0.3792,0.1667,0.2213,0.4199,1.0016,1.0058,0.2337,1,0.8991,1,False
1014,365.27,0.5436,2.0238,0.5023,0.2686,0.5581,0.046,0.2693,1.0077,0.9962,0.4485,0,0.8991,1,False
1015,381.26,0.5674,1.5689,0.3823,0.3616,0.1682,0.2216,0.4197,0.9971,1.0026,0.3416,1,0.8991,1,False
1016,378.94,0.5639,1.4657,0.3832,0.3847,0.1645,0.2239,0.4219,1.0088,0.9942,0.3272,1,0.8991,1,False
1017,382.66,0.5694,1.5642,0.384,0.364,0.1666,0.222,0.4199,1.013,1.0044,0.3474,1,0.8991,1,False
1018,382.45,0.5691,1.4694,0.3824,0.3873,0.1693,0.2231,0.4182,1.0017,0.9937,0.3051,1,0.8991,1,False
1019,380.95,0.5669,1.489,0.3843,0.3807,0.1673,0.2239,0.4205,0.9971,0.9965,0.3374,1,0.8991,1,False
1020,380.99,0.567,1.4952,0.3831,0.3792,0.1662,0.2217,0.4214,0.9982,0.9913,0.38,1,0.8991,1,False
1021,366.29,0.5451,2.027,0.5014,0.2689,0.5563,0.0463,0.2689,0.9994,1.006,0.4055,0,0.8991,1,False
1022,381.58,0.5678,1.4962,0.3873,0.3795,0.1646,0.2246,0.422,0.9997,1.003,0.4146,1,0.8991,1,False
1023,382.05,0.5685,1.4729,0.3814,0.386,0.1663,0.2242,0.4183,0.9905,0.9983,0.225,1,0.8991,1,False
1024,369.73,0.5502,2.0569,0.5021,0.2675,0.5543,0.047,0.2668,1.0018,0.9994,0.3612,0,0.8991,1,False
1025,382.36,0.569,1.5295,0.3869,0.372,0.1648,0.2245,0.4209,0.9934,0.9988,0.2394,1,0.8991,1,False
1026,367.81,0.5473,1.9802,0.4993,0.2764,0.5545,0.0476,0.2686,1.0056,1.01,0.4465,0,0.8991,1,False
1027,381.73,0.5681,1.518,0.3873,0.3742,0.1645,0.2255,0.4216,1.0042,0.9992,0.3163,1,0.8991,1,False
1028,660.03,0.9822,3.1662,1.0184,0.3102,0.1032,0.2497,0.1643,0.2406,0.9951,21.4532,2,0.8991,1,False
1029,381.64,0.5679,1.4902,0.3809,0.3811,0.1666,0.2216,0.4193,0.9995,0.9963,0.2989,1,0.8991,1,False
1030,381.24,0.5673,1.464,0.3816,0.3875,0.1666,0.2242,0.4183,1.0056,0.9944,0.2882,1,0.8991,1,False
1031,363.78,0.5413,2.0294,0.5042,0.2667,0.5603,0.0457,0.2704,0.9816,1.0189,0.5234,0,0.8991,1,False
1032,382.0,0.5685,1.5196,0.3828,0.3741,0.1672,0.2211,0.4202,0.9988,0.9983,0.4374,1,0.8991,1,False
1033,380.21,0.5658,1.4456,0.3844,0.3914,0.1651,0.2257,0.4219,1.0028,1.0104,0.4367,1,0.8991,1,False
1034,381.22,0.5673,1.4887,0.3849,0.3811,0.1691,0.2231,0.422,0.992,1.0016,0.2808,1,0.8991,1,False
1035,380.54,0.5663,1.5091,0.3853,0.3752,0.1636,0.2251,0.4203,0.9895,1.0061,0.3214,1,0.8991,1,False
1036,381.5,0.5677,1.4734,0.3849,0.3853,0.1656,0.2233,0.4199,1.0046,1.0037,0.2204,1,0.8991,1,False
1037,667.4,0.9932,3.0805,1.034,0.3224,0.1006,0.252,0.1636,0.2354,0.9832,21.8849,2,0.8991,-1,True
1038,367.54,0.5469,2.0482,0.5037,0.267,0.5571,0.0454,0.2692,1.0092,1.0049,0.3137,0,0.8991,1,False
1039,380.27,0.5659,1.4897,0.3829,0.3799,0.1647,0.2247,0.42,0.9966,0.9898,0.2221,1,0.8991,1,False
1040,365.75,0.5443,2.0275,0.5023,0.2684,0.5596,0.0456,0.2654,1.0033,0.9966,0.3014,0,0.8991,1,False
1041,381.3,0.5674,1.4862,0.3878,0.3818,0.1651,0.2223,0.4239,0.9997,0.9985,0.2932,1,0.8991,1,False
1042,366.63,0.5456,2.0271,0.5002,0.2691,0.5573,0.0451,0.2668,0.9938,1.0109,0.3008,0,0.8991,1,False
1043,368.0,0.5476,2.0503,0.5024,0.2671,0.5542,0.0485,0.2676,1.0068,0.9934,0.249,0,0.8991,1,False
1044,380.73,0.5666,1.4719,0.3835,0.3849,0.1687,0.2223,0.421,1.0021,0.998,0.2298,1,0.8991,1,False
1045,659.18,0.9809,3.1016,1.0253,0.3163,0.1025,0.2471,0.1652,0.2322,1.0073,21.7236,2,0.8991,1,False
1046,382.79,0.5696,1.4685,0.3814,0.3879,0.1701,0.2205,0.4196,0.987,1.011,0.3744,1,0.8991,1,False
1047,658.56,0.98,3.0319,1.0154,0.3232,0.1029,0.2502,0.1631,0.2443,0.9979,21.2569,2,0.8991,1,False
1048,378.79,0.5637,1.4555,0.383,0.3873,0.1646,0.2247,0.4215,1.0099,1.0107,0.2702,1,0.8991,1,False
