meter_id,tot_kwh,mean_kwh,max_kwh,std_kwh,load_factor,night_ratio,morn_peak_ratio,eve_peak_ratio,weekend_ratio,half_period_ratio,daily_consumption_std,cluster,silhouette_score
1000,382.33,0.5689,1.4762,0.3858,0.3854,0.1657,0.2247,0.4209,0.991,0.9912,0.4024,0,0.9592
1001,369.64,0.5501,2.0702,0.503,0.2657,0.5539,0.0471,0.2688,1.0029,0.9951,0.3052,1,0.9592
1002,367.08,0.5462,2.0645,0.5057,0.2646,0.5587,0.045,0.2665,1.0023,0.9977,0.2959,1,0.9592
1003,381.32,0.5674,1.5213,0.3832,0.373,0.1674,0.2227,0.4213,1.0057,0.9987,0.2345,0,0.9592
1004,380.39,0.566,1.4849,0.3858,0.3812,0.1663,0.2234,0.4224,0.9915,1.0055,0.4235,0,0.9592
1005,380.05,0.5655,1.463,0.3876,0.3866,0.1645,0.2241,0.4236,0.9897,0.9832,0.4396,0,0.9592
1006,380.39,0.5661,1.4679,0.3843,0.3856,0.1653,0.2217,0.423,0.9958,1.0093,0.2329,0,0.9592
1007,380.04,0.5655,1.5187,0.3834,0.3724,0.1659,0.2204,0.4227,1.0024,0.9973,0.4035,0,0.9592
1008,379.62,0.5649,1.4917,0.3864,0.3787,0.1687,0.2221,0.4234,0.9939,1.0072,0.4305,0,0.9592
1009,365.44,0.5438,2.0274,0.5036,0.2682,0.5613,0.0458,0.2652,1.0058,0.9931,0.2684,1,0.9592
1010,382.54,0.5693,1.4674,0.3821,0.3879,0.1669,0.2228,0.4183,1.0007,1.0059,0.3795,0,0.9592
1011,380.69,0.5665,1.484,0.3847,0.3817,0.1648,0.2226,0.4225,0.9929,1.0094,0.2919,0,0.9592
1012,666.47,0.9918,3.1852,1.0345,0.3114,0.1,0.2509,0.162,0.2365,0.9983,21.8069,2,0.9592
1013,380.94,0.5669,1.5018,0.3846,0.3775,0.1645,0.225,0.4216,1.0077,1.0036,0.304,0,0.9592
1014,380.02,0.5655,1.5018,0.3858,0.3766,0.1657,0.2224,0.423,0.9921,0.9986,0.2552,0,0.9592
1015,379.0,0.564,1.4718,0.3816,0.3832,0.1651,0.2239,0.4213,0.9943,0.9954,0.3167,0,0.9592
1016,380.74,0.5666,1.5058,0.3881,0.3763,0.1641,0.2221,0.4249,1.0123,0.9975,0.3735,0,0.9592
1017,367.12,0.5463,1.9963,0.5012,0.2737,0.5578,0.0463,0.2668,0.9981,1.0066,0.3233,1,0.9592
1018,379.27,0.5644,1.4844,0.3832,0.3802,0.1673,0.2214,0.4222,0.9942,1.0061,0.4698,0,0.9592
1019,666.77,0.9922,3.0597,1.0262,0.3243,0.1033,0.2512,0.1581,0.2425,0.9969,21.6127,2,0.9592
1020,366.74,0.5457,2.0402,0.5016,0.2675,0.5587,0.0466,0.2673,0.9902,1.008,0.3216,1,0.9592
1021,381.61,0.5679,1.557,0.3825,0.3647,0.1679,0.2202,0.4212,0.9868,0.9954,0.3165,0,0.9592
1022,662.74,0.9862,3.2197,1.0281,0.3063,0.1007,0.2502,0.1619,0.2359,1.0081,21.7138,2,0.9592
1023,367.99,0.5476,2.026,0.5021,0.2703,0.5542,0.0471,0.2682,0.9897,1.0029,0.2898,1,0.9592
1024,382.2,0.5687,1.4822,0.3832,0.3837,0.1661,0.2222,0.4205,1.0107,1.0074,0.3505,0,0.9592
1025,367.89,0.5475,2.0096,0.5018,0.2724,0.5564,0.0469,0.2674,1.009,1.0024,0.3353,1,0.9592
1026,380.74,0.5666,1.4794,0.3853,0.383,0.1675,0.2226,0.4222,0.9918,0.9968,0.2744,0,0.9592
1027,381.21,0.5673,1.4582,0.383,0.389,0.1661,0.2256,0.4196,1.0103,1.0076,0.4143,0,0.9592
1028,381.72,0.568,1.4769,0.3849,0.3846,0.1654,0.2237,0.4207,0.997,0.9988,0.3231,0,0.9592
1029,365.14,0.5434,2.0296,0.502,0.2677,0.5605,0.0465,0.2676,1.0074,1.0032,0.3633,1,0.9592
1030,368.75,0.5487,2.0453,0.5001,0.2683,0.5574,0.0464,0.267,1.0003,0.9935,0.377,1,0.9592
1031,381.21,0.5673,1.4496,0.3827,0.3913,0.1656,0.2232,0.4206,1.0025,0.9895,0.3193,0,0.9592
1032,381.59,0.5678,1.5844,0.3881,0.3584,0.1616,0.2258,0.4219,0.9785,1.0062,0.5536,0,0.9592
1033,663.4,0.9872,2.9484,1.0283,0.3348,0.1007,0.2505,0.1631,0.2317,1.0016,21.8798,2,0.9592
1034,382.35,0.569,1.4996,0.3829,0.3794,0.1661,0.2249,0.4193,0.9945,0.9946,0.32,0,0.9592
1035,379.64,0.5649,1.5032,0.3823,0.3758,0.1679,0.2256,0.4192,1.0011,1.0046,0.2739,0,0.9592
1036,368.16,0.5478,2.0313,0.5013,0.2697,0.5552,0.0474,0.2672,0.9912,0.9938,0.3078,1,0.9592
1037,665.67,0.9906,3.0206,1.0247,0.3279,0.1018,0.251,0.1635,0.2444,1.0058,21.4938,2,0.9592
1038,381.01,0.567,1.4852,0.3843,0.3818,0.1682,0.2228,0.4215,1.003,0.9986,0.3204,0,0.9592
1039,381.95,0.5684,1.4942,0.386,0.3804,0.1656,0.2223,0.422,0.9966,1.0044,0.3127,0,0.9592
1040,365.97,0.5446,2.0192,0.5029,0.2697,0.5553,0.0467,0.2697,1.0008,1.0049,0.2583,1,0.9592
