meter_id,timestamp,kwh
1000,2026-01-01 00:00:00,0.1444
1000,2026-01-01 00:30:00,0.2159
1000,2026-01-01 01:00:00,0.214
1000,2026-01-01 01:30:00,0.2505
1000,2026-01-01 02:00:00,0.1711
1000,2026-01-01 02:30:00,0.1742
1000,2026-01-01 03:00:00,0.173
1000,2026-01-01 03:30:00,0.1589
1000,2026-01-01 04:00:00,0.084
1000,2026-01-01 04:30:00,0.2849
1000,2026-01-01 05:00:00,0.3251
1000,2026-01-01 05:30:00,0.2915
1000,2026-01-01 06:00:00,0.4729
1000,2026-01-01 06:30:00,0.6187
1000,2026-01-01 07:00:00,0.7879
1000,2026-01-01 07:30:00,0.8445
1000,2026-01-01 08:00:00,0.9685
1000,2026-01-01 08:30:00,0.9814
1000,2026-01-01 09:00:00,0.951
1000,2026-01-01 09:30:00,0.6756
1000,2026-01-01 10:00:00,0.5005
1000,2026-01-01 10:30:00,0.3421
1000,2026-01-01 11:00:00,0.2547
1000,2026-01-01 11:30:00,0.2858
1000,2026-01-01 12:00:00,0.2318
1000,2026-01-01 12:30:00,0.1794
1000,2026-01-01 13:00:00,0.1638
1000,2026-01-01 13:30:00,0.2197
1000,2026-01-01 14:00:00,0.2261
1000,2026-01-01 14:30:00,0.2952
1000,2026-01-01 15:00:00,0.3509
1000,2026-01-01 15:30:00,0.479
1000,2026-01-01 16:00:00,0.5263
1000,2026-01-01 16:30:00,0.804
1000,2026-01-01 17:00:00,1.0668
1000,2026-01-01 17:30:00,1.1655
1000,2026-01-01 18:00:00,1.2699
1000,2026-01-01 18:30:00,1.4072
1000,2026-01-01 19:00:00,1.3495
1000,2026-01-01 19:30:00,1.2839
1000,2026-01-01 20:00:00,1.2977
1000,2026-01-01 20:30:00,1.0789
1000,2026-01-01 21:00:00,0.8605
1000,2026-01-01 21:30:00,0.7054
1000,2026-01-01 22:00:00,0.5331
1000,2026-01-01 22:30:00,0.4662
1000,2026-01-01 23:00:00,0.3915
1000,2026-01-01 23:30:00,0.3399
1000,2026-01-02 00:00:00,0.2447
1000,2026-01-02 00:30:00,0.2378
1000,2026-01-02 01:00:00,0.1896
1000,2026-01-02 01:30:00,0.1688
1000,2026-01-02 02:00:00,0.1247
1000,2026-01-02 02:30:00,0.2554
1000,2026-01-02 03:00:00,0.1927
1000,2026-01-02 03:30:00,0.1845
1000,2026-01-02 04:00:00,0.2736
1000,2026-01-02 04:30:00,0.1925
1000,2026-01-02 05:00:00,0.3261
1000,2026-01-02 05:30:00,0.3825
1000,2026-01-02 06:00:00,0.4424
1000,2026-01-02 06:30:00,0.652
1000,2026-01-02 07:00:00,0.8717
1000,2026-01-02 07:30:00,0.9913
1000,2026-01-02 08:00:00,1.0748
1000,2026-01-02 08:30:00,0.9684
1000,2026-01-02 09:00:00,0.9917
1000,2026-01-02 09:30:00,0.6098
1000,2026-01-02 10:00:00,0.4744
1000,2026-01-02 10:30:00,0.3648
1000,2026-01-02 11:00:00,0.2138
1000,2026-01-02 11:30:00,0.2906
1000,2026-01-02 12:00:00,0.2625
1000,2026-01-02 12:30:00,0.2121
1000,2026-01-02 13:00:00,0.1882
1000,2026-01-02 13:30:00,0.153
1000,2026-01-02 14:00:00,0.2134
1000,2026-01-02 14:30:00,0.3327
1000,2026-01-02 15:00:00,0.3518
1000,2026-01-02 15:30:00,0.4382
1000,2026-01-02 16:00:00,0.6147
1000,2026-01-02 16:30:00,0.8073
1000,2026-01-02 17:00:00,0.9407
1000,2026-01-02 17:30:00,1.1215
1000,2026-01-02 18:00:00,1.3276
1000,2026-01-02 18:30:00,1.3719
1000,2026-01-02 19:00:00,1.3845
1000,2026-01-02 19:30:00,1.3967
1000,2026-01-02 20:00:00,1.2462
1000,2026-01-02 20:30:00,1.0874
1000,2026-01-02 21:00:00,0.9915
1000,2026-01-02 21:30:00,0.7348
1000,2026-01-02 22:00:00,0.4568
1000,2026-01-02 22:30:00,0.4768
1000,2026-01-02 23:00:00,0.3426
1000,2026-01-02 23:30:00,0.281
1000,2026-01-03 00:00:00,0.2226
1000,2026-01-03 00:30:00,0.1917
1000,2026-01-03 01:00:00,0.2108
1000,2026-01-03 01:30:00,0.0989
1000,2026-01-03 02:00:00,0.1529
1000,2026-01-03 02:30:00,0.2706
1000,2026-01-03 03:00:00,0.2006
1000,2026-01-03 03:30:00,0.1214
1000,2026-01-03 04:00:00,0.161
1000,2026-01-03 04:30:00,0.1878
1000,2026-01-03 05:00:00,0.2894
1000,2026-01-03 05:30:00,0.3461
1000,2026-01-03 06:00:00,0.4613
1000,2026-01-03 06:30:00,0.656
1000,2026-01-03 07:00:00,0.8469
1000,2026-01-03 07:30:00,0.9386
1000,2026-01-03 08:00:00,0.9713
1000,2026-01-03 08:30:00,0.9305
1000,2026-01-03 09:00:00,0.84
1000,2026-01-03 09:30:00,0.6555
1000,2026-01-03 10:00:00,0.5327
1000,2026-01-03 10:30:00,0.3103
1000,2026-01-03 11:00:00,0.246
1000,2026-01-03 11:30:00,0.2771
1000,2026-01-03 12:00:00,0.1772
1000,2026-01-03 12:30:00,0.2804
1000,2026-01-03 13:00:00,0.2851
1000,2026-01-03 13:30:00,0.2974
1000,2026-01-03 14:00:00,0.2088
1000,2026-01-03 14:30:00,0.2993
1000,2026-01-03 15:00:00,0.3377
1000,2026-01-03 15:30:00,0.5057
1000,2026-01-03 16:00:00,0.6749
1000,2026-01-03 16:30:00,0.7931
1000,2026-01-03 17:00:00,0.9283
1000,2026-01-03 17:30:00,1.0875
1000,2026-01-03 18:00:00,1.2915
1000,2026-01-03 18:30:00,1.3019
1000,2026-01-03 19:00:00,1.4268
1000,2026-01-03 19:30:00,1.3173
1000,2026-01-03 20:00:00,1.29
1000,2026-01-03 20:30:00,1.0978
1000,2026-01-03 21:00:00,0.9084
1000,2026-01-03 21:30:00,0.7051
1000,2026-01-03 22:00:00,0.5717
1000,2026-01-03 22:30:00,0.4873
1000,2026-01-03 23:00:00,0.4146
1000,2026-01-03 23:30:00,0.3218
1000,2026-01-04 00:00:00,0.2682
1000,2026-01-04 00:30:00,0.327
1000,2026-01-04 01:00:00,0.1838
1000,2026-01-04 01:30:00,0.1897
1000,2026-01-04 02:00:00,0.1281
1000,2026-01-04 02:30:00,0.26
1000,2026-01-04 03:00:00,0.2665
1000,2026-01-04 03:30:00,0.1617
1000,2026-01-04 04:00:00,0.2455
1000,2026-01-04 04:30:00,0.2983
1000,2026-01-04 05:00:00,0.2956
1000,2026-01-04 05:30:00,0.4101
1000,2026-01-04 06:00:00,0.503
1000,2026-01-04 06:30:00,0.595
1000,2026-01-04 07:00:00,0.8755
1000,2026-01-04 07:30:00,1.0178
1000,2026-01-04 08:00:00,1.0367
1000,2026-01-04 08:30:00,0.9038
1000,2026-01-04 09:00:00,0.7855
1000,2026-01-04 09:30:00,0.5993
1000,2026-01-04 10:00:00,0.5329
1000,2026-01-04 10:30:00,0.4313
1000,2026-01-04 11:00:00,0.3059
1000,2026-01-04 11:30:00,0.2855
1000,2026-01-04 12:00:00,0.1739
